ToDo ID,ToDoメッセージ,ToDo区分,結果登録フォームID,ToDoカテゴリーID,顧客区分,優先度,有効期間開始日,有効期間終了日,登録日時,更新日時,削除日時,最終更新タイムスタンプ,最終更新ユーザID
TODO001,スポット集荷が近いので、荷物を確認,1,D,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO002,先月荷物がなかったので、 状況を確認,1,E,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO003,ロストしそうな顧客に、御用聞きや他社利用状況を確認,1,J,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO004,荷物が急増したので、B2クラウドをお勧め/ご不便を伺い,1,C,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO005,荷物が初めて出たので、 不便がないか確認,1,A,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO006,B2を使い始めたので、 不明点がないか確認,1,B,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO007,減少しそうな顧客に、御用聞きや他社利用状況を確認,1,J,7,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO008,新規顧客にサービスのお勧め,1,L,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO009,新規顧客にYBM会員化,1,M,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO010,新規顧客にB2クラウドのお勧め,1,N,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO011,新規顧客で先月出荷がなかった顧客に御用聞き,1,O,1,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO012,ロスト顧客の掘り起こし,1,F,2,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO013,定時集荷化するよう営業,1,G,3,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO014,B2クラウドのお勧め,1,H,4,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO015,DM・機密の顧客に 宅急便をお勧め,1,I,5,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO016,未出荷の顧客に出荷動向をお伺い,1,K,7,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO017,ToDoなしで、個別施策が設定されているもの,1,P,8,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO201,スポット集荷が近いので、荷物を確認,1,D,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO202,先月荷物がなかったので、 状況を確認,1,E,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO203,ロストしそうな顧客に、御用聞きや他社利用状況を確認,1,J,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO204,荷物が急増したので、B2クラウドをお勧め/ご不便を伺い,1,C,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO205,荷物が初めて出たので、 不便がないか確認,1,A,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO206,B2を使い始めたので、 不明点がないか確認,1,B,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO207,減少しそうな顧客に、御用聞きや他社利用状況を確認,1,J,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO208,新規顧客にサービスのお勧め,1,L,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO209,新規顧客にYBM会員化,1,M,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO210,新規顧客にB2クラウドのお勧め,1,N,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO211,新規顧客で先月出荷がなかった顧客に御用聞き,1,O,1,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO212,ロスト顧客の掘り起こし,1,F,2,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO213,定時集荷化するよう営業,1,G,3,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO214,B2クラウドのお勧め,1,H,4,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO215,DM・機密の顧客に 宅急便をお勧め,1,I,5,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO216,未出荷の顧客に出荷動向をお伺い,1,K,7,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO217,ToDoなしで、個別施策が設定されているもの,1,P,8,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO099,●●●●●●非定型ＴｏＤｏテスト●●●●●●,2,P,8,1,,,,,,,2020/11/26 20:15:29,KBDUSER1
TODO299,●●●●●●非定型ＴｏＤｏテスト●●●●●●,2,P,8,2,,,,,,,2020/11/26 20:15:29,KBDUSER1
